                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0709,                 3.5274,                 1.3804,                   0.04,                0.21818,                0.02827,                0.01453,                 1.6609,                 3.2977,                 1.1611,                  2e-05,                  2e-05,                  2e-05
                      2,                 2.2459,                 3.5286,                 1.3889,                0.05222,                0.28485,                0.05869,                0.02914,                 1.6649,                 3.2434,                 1.1425,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      3,                 1.8219,                  3.377,                 1.2842,                0.05778,                0.31515,                 0.1312,                  0.063,                 1.6884,                 3.2199,                 1.1583,              9.802e-05,              9.802e-05,              9.802e-05
                      4,                 1.9097,                 3.2715,                 1.2057,                0.07333,                    0.4,                0.19783,                0.08224,                 1.7476,                 3.1652,                  1.183,             0.00013584,             0.00013584,             0.00013584
                      5,                 1.7954,                 2.9516,                 1.1578,                0.08889,                0.48485,                0.25056,                 0.0959,                 1.7602,                 3.1025,                 1.1216,             0.00017287,             0.00017287,             0.00017287
                      6,                 1.8014,                 2.5532,                 1.1079,                0.08444,                0.46061,                0.21054,                0.08615,                 1.7579,                 3.0298,                 1.0836,             0.00020911,             0.00020911,             0.00020911
                      7,                 1.7898,                 2.1642,                 1.1089,                0.08556,                0.46667,                0.16162,                0.06987,                 1.8092,                  2.928,                 1.1071,             0.00024456,             0.00024456,             0.00024456
                      8,                 1.7798,                 1.7614,                 1.1026,                0.11667,                0.63636,                0.39409,                0.17263,                 1.8118,                 2.7323,                   1.14,             0.00027921,             0.00027921,             0.00027921
                      9,                 1.7036,                 1.5029,                 1.0714,                0.13111,                0.71515,                0.54696,                0.24974,                 1.8319,                 2.6395,                 1.1517,             0.00031307,             0.00031307,             0.00031307
                     10,                 1.7682,                 1.4415,                 1.0886,                0.59175,                0.57102,                0.60263,                0.27668,                 1.8284,                 2.5127,                 1.1403,             0.00034614,             0.00034614,             0.00034614
                     11,                 1.7689,                 1.4032,                 1.0631,                0.92063,                0.31515,                0.62019,                0.28479,                 1.8191,                 2.3939,                 1.1421,             0.00037842,             0.00037842,             0.00037842
                     12,                 1.6799,                  1.278,                 1.0503,                0.84411,                0.32121,                0.62318,                0.30311,                 1.7463,                  2.246,                 1.1039,             0.00040991,             0.00040991,             0.00040991
                     13,                 1.6572,                 1.2402,                 1.0434,                0.72484,                0.43106,                0.59636,                0.30565,                 1.7864,                 2.1147,                 1.1196,              0.0004406,              0.0004406,              0.0004406
                     14,                 1.7653,                 1.1963,                 1.0954,                0.80216,                0.50909,                0.62751,                0.32159,                 1.8534,                 1.9786,                   1.17,              0.0004705,              0.0004705,              0.0004705
                     15,                 1.6955,                 1.1436,                  1.082,                0.83226,                0.57576,                 0.6737,                0.34391,                 1.8408,                 1.9484,                 1.2338,             0.00049961,             0.00049961,             0.00049961
                     16,                 1.7181,                  1.205,                  1.101,                0.80013,                0.55804,                0.67801,                 0.3667,                 1.7107,                 1.8447,                 1.1948,             0.00052793,             0.00052793,             0.00052793
                     17,                  1.607,                  1.123,                 1.0642,                0.83176,                0.60606,                0.72298,                0.39631,                 1.6739,                 1.6782,                 1.1579,             0.00055546,             0.00055546,             0.00055546
                     18,                  1.648,                 1.1265,                 1.0828,                0.80236,                0.66061,                0.73733,                0.39612,                 1.6911,                 1.5878,                 1.1534,             0.00058219,             0.00058219,             0.00058219
                     19,                 1.6407,                 1.0728,                 1.0282,                0.80107,                0.65896,                0.73299,                0.38741,                 1.7155,                 1.5368,                 1.1591,             0.00060813,             0.00060813,             0.00060813
                     20,                 1.5022,                 1.0357,                 1.0553,                0.82332,                0.66667,                 0.7294,                0.38105,                 1.7245,                 1.4915,                 1.1564,             0.00063328,             0.00063328,             0.00063328
                     21,                 1.5195,                  1.047,                 1.0521,                0.82499,                0.68485,                0.74861,                0.37936,                 1.7341,                 1.4637,                 1.1865,             0.00065764,             0.00065764,             0.00065764
                     22,                 1.6097,                 1.0209,                 1.0504,                0.84761,                0.66667,                0.75488,                0.38554,                 1.6882,                 1.3516,                 1.1617,             0.00068121,             0.00068121,             0.00068121
                     23,                 1.6985,                 1.0349,                 1.0659,                0.81578,                0.64412,                  0.747,                0.38149,                  1.686,                 1.2944,                 1.1663,             0.00070398,             0.00070398,             0.00070398
                     24,                  1.601,                 1.0269,                 1.0485,                0.79232,                0.66667,                0.74911,                0.38486,                 1.6678,                  1.288,                 1.1756,             0.00072596,             0.00072596,             0.00072596
                     25,                 1.5017,                0.96308,                 1.0258,                 0.7872,                0.63636,                0.72149,                0.37556,                 1.6964,                 1.2802,                 1.1913,             0.00074715,             0.00074715,             0.00074715
                     26,                 1.4881,                0.94895,                 1.0394,                0.78493,                 0.6636,                0.74518,                0.37444,                 1.7178,                 1.2347,                  1.185,             0.00076755,             0.00076755,             0.00076755
                     27,                 1.5512,                 1.0015,                 1.0265,                0.81633,                0.68485,                0.74665,                0.37514,                 1.7123,                 1.1903,                 1.1617,             0.00078716,             0.00078716,             0.00078716
                     28,                 1.5402,                0.97279,                 1.0181,                0.81633,                0.68485,                0.74665,                0.37514,                 1.7123,                 1.1903,                 1.1617,             0.00080597,             0.00080597,             0.00080597
                     29,                 1.4902,                0.95042,                 1.0221,                0.81126,                0.71515,                0.78633,                0.38907,                 1.7106,                 1.1742,                 1.1616,             0.00082399,             0.00082399,             0.00082399
                     30,                 1.5007,                0.96215,                 1.0354,                0.83825,                0.75152,                 0.7956,                0.42664,                 1.6011,                  1.146,                 1.1196,             0.00084122,             0.00084122,             0.00084122
                     31,                 1.4767,                 0.9189,                 1.0081,                0.83825,                0.75152,                 0.7956,                0.42664,                 1.6011,                  1.146,                 1.1196,             0.00085766,             0.00085766,             0.00085766
                     32,                 1.5036,                0.91969,                 1.0024,                0.83332,                0.69688,                0.78535,                0.41601,                 1.5676,                 1.1662,                 1.1081,             0.00087331,             0.00087331,             0.00087331
                     33,                  1.452,                0.90362,                0.99259,                0.79552,                0.70909,                 0.7746,                0.40536,                 1.6044,                 1.2001,                 1.1149,             0.00088816,             0.00088816,             0.00088816
                     34,                 1.4228,                0.92684,                 1.0087,                0.79552,                0.70909,                 0.7746,                0.40536,                 1.6044,                 1.2001,                 1.1149,             0.00090222,             0.00090222,             0.00090222
                     35,                 1.4825,                0.89862,                0.99188,                 0.7741,                0.70613,                0.76686,                0.39596,                 1.6368,                 1.2071,                 1.1105,             0.00091549,             0.00091549,             0.00091549
                     36,                 1.5588,                0.99797,                 1.0352,                0.79466,                0.68485,                0.76128,                0.38237,                 1.6614,                 1.2223,                 1.1108,             0.00092797,             0.00092797,             0.00092797
                     37,                 1.5008,                0.90139,                0.99612,                0.79466,                0.68485,                0.76128,                0.38237,                 1.6614,                 1.2223,                 1.1108,             0.00093966,             0.00093966,             0.00093966
                     38,                 1.4006,                0.90604,                 1.0231,                0.75348,                0.70391,                0.74572,                0.38924,                 1.6451,                 1.2368,                 1.1167,             0.00095055,             0.00095055,             0.00095055
                     39,                 1.4415,                 0.8764,                 0.9953,                0.71268,                0.70655,                0.73192,                0.38439,                 1.6028,                 1.2363,                 1.1104,             0.00096065,             0.00096065,             0.00096065
                     40,                 1.4017,                0.92783,                 1.0355,                0.71268,                0.70655,                0.73192,                0.38439,                 1.6028,                 1.2363,                 1.1104,             0.00096996,             0.00096996,             0.00096996
                     41,                 1.4128,                0.88112,                 1.0084,                 0.7985,                0.67879,                0.75156,                0.39331,                 1.6282,                 1.2141,                 1.1188,             0.00097848,             0.00097848,             0.00097848
                     42,                 1.4773,                0.86173,                 1.0106,                0.82065,                0.67879,                0.75969,                 0.3893,                 1.7289,                 1.1961,                 1.1341,             0.00098621,             0.00098621,             0.00098621
                     43,                 1.4132,                0.86188,                0.99852,                0.82065,                0.67879,                0.75969,                 0.3893,                 1.7289,                 1.1961,                 1.1341,             0.00099314,             0.00099314,             0.00099314
                     44,                 1.4232,                 0.8641,                 1.0089,                 0.7912,                0.68898,                  0.772,                0.40825,                 1.6633,                 1.1642,                 1.1216,             0.00099928,             0.00099928,             0.00099928
                     45,                 1.3822,                0.85271,                0.99028,                 0.7912,                0.68898,                  0.772,                0.40825,                 1.6633,                 1.1642,                 1.1216,              0.0010046,              0.0010046,              0.0010046
                     46,                 1.4481,                0.89493,                 1.0068,                0.83479,                0.69091,                0.78591,                0.41492,                 1.6274,                 1.1499,                 1.1031,              0.0010092,              0.0010092,              0.0010092
                     47,                 1.3402,                0.84296,                0.99551,                0.83479,                0.69091,                0.78591,                0.41492,                 1.6274,                 1.1499,                 1.1031,               0.001013,               0.001013,               0.001013
                     48,                 1.4113,                0.91533,                 1.0099,                0.79788,                0.67273,                0.74962,                0.36349,                  1.828,                 1.1879,                 1.1941,              0.0010159,              0.0010159,              0.0010159
                     49,                 1.4951,                 0.9793,                 1.0675,                0.79788,                0.67273,                0.74962,                0.36349,                  1.828,                 1.1879,                 1.1941,              0.0010181,              0.0010181,              0.0010181
                     50,                 1.4118,                0.84668,                0.99779,                0.86271,                0.64743,                0.75125,                0.37208,                 1.7943,                 1.1797,                 1.1876,              0.0010195,              0.0010195,              0.0010195
                     51,                 1.4266,                 0.8545,                 1.0208,                0.86271,                0.64743,                0.75125,                0.37208,                 1.7943,                 1.1797,                 1.1876,                0.00101,                0.00101,                0.00101
                     52,                 1.4008,                0.82866,                0.98916,                0.78644,                0.70909,                0.76851,                0.41599,                 1.6216,                 1.1393,                 1.1295,                0.00101,                0.00101,                0.00101
